epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
174,245.955,0.26506,0.21248,0.84017,0.9977,1,0.995,0.99111,0.22335,0.14746,0.76809,0.000205276,0.000205276,0.000205276
175,247.295,0.28414,0.21868,0.85229,0.99757,1,0.995,0.98917,0.21648,0.14813,0.76753,0.000198202,0.000198202,0.000198202
176,248.652,0.28039,0.22066,0.86381,0.99742,1,0.995,0.98922,0.21087,0.14782,0.766,0.000191129,0.000191129,0.000191129
177,250.05,0.2631,0.2038,0.82628,0.99743,1,0.995,0.99297,0.20807,0.15102,0.76539,0.000184055,0.000184055,0.000184055
178,251.474,0.26594,0.21468,0.85069,0.99744,1,0.995,0.99284,0.20441,0.14642,0.76419,0.000176982,0.000176982,0.000176982
179,252.845,0.26319,0.20635,0.84389,0.99848,1,0.995,0.98993,0.2048,0.1408,0.76412,0.000169908,0.000169908,0.000169908
180,254.231,0.24545,0.19522,0.83992,0.99856,1,0.995,0.99219,0.20073,0.13969,0.76315,0.000162835,0.000162835,0.000162835
181,255.794,0.25088,0.19296,0.8449,0.99859,1,0.995,0.99073,0.19923,0.14151,0.76358,0.000155761,0.000155761,0.000155761
182,257.176,0.27412,0.21804,0.85508,0.99736,1,0.995,0.99063,0.2128,0.15121,0.7681,0.000148687,0.000148687,0.000148687
183,258.562,0.26353,0.2131,0.86385,0.97838,1,0.99407,0.98296,0.24272,0.17259,0.77914,0.000141614,0.000141614,0.000141614
184,259.924,0.26933,0.2124,0.84918,0.99866,1,0.995,0.9876,0.22719,0.1556,0.77215,0.00013454,0.00013454,0.00013454
